,Id,Age,Sex,LikeMusic,LikeTV,LikeDrawing,LikeComputer,LikeOutSport,LikeInSport,FriendCount,LikeFriendPlay,LikeAlone,FunFamily,LikeSchool,SadSchool,TiredSchool,FedSchool,FriendTalk,Bullied,BullyOthers,ChildLeftOut
7273,M23569S,7.6,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Some of the time,All of the time,I don't like it,Some of the time,Some of the time,Some of the time,Some of the time,Never,Never,Some of the time
7274,M23570K,7.1,,,,,,,,,,,,,,,,,,,
7275,M23574P,7.5,Female,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I like it a lot,Lots,I like it a lot,Never,All of the time,I like it a lot,Never,All of the time,Never,Never,Some of the time,Never,Some of the time
7276,M23575Q,6.9,Male,I like it a bit,I like it a lot,I like it a bit,I like it a bit,I like it a bit,I like it a lot,Some,I like it a lot,Never,All of the time,I like it a lot,Never,,Never,Never,Some of the time,Never,Never
7277,M23579U,7.1,Male,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Never,All of the time,I like it a bit,Never,Some of the time,Never,Never,Never,Never,Never
7278,M23581N,6.9,Male,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,All of the time,All of the time,I don't like it,All of the time,Never,All of the time,Some of the time,All of the time,Never,All of the time
7279,M23582P,7.0,Male,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a bit,Lots,I like it a lot,All of the time,All of the time,I like it a lot,Some of the time,All of the time,All of the time,Never,Never,Never,Never
7280,M23584R,7.1,Male,I don't like it,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Some,I like it a lot,Never,,I like it a bit,Some of the time,Never,Some of the time,All of the time,Some of the time,Some of the time,Some of the time
7281,M23586T,7.2,Male,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I don't like it,Lots,I like it a lot,Some of the time,Some of the time,I don't like it,Some of the time,Some of the time,All of the time,Some of the time,Some of the time,Never,Some of the time
7282,M23589W,6.8,Male,I don't like it,I like it a lot,I like it a bit,I like it a bit,I don't like it,I like it a bit,Lots,I like it a lot,Some of the time,Some of the time,I don't like it,Never,All of the time,All of the time,All of the time,Never,Never,Never
7283,M23591Q,7.4,Male,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a lot,Some,I like it a lot,Some of the time,Some of the time,I don't like it,Never,Some of the time,Some of the time,Some of the time,Never,Never,Never
7284,M23593S,7.5,Female,I like it a lot,I like it a bit,I like it a bit,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Some of the time,Some of the time,I like it a bit,Never,Some of the time,Some of the time,Some of the time,Some of the time,Never,Some of the time
7285,M23594T,7.3,Female,,I like it a lot,I like it a lot,,I like it a bit,I like it a bit,Some,I like it a lot,,Some of the time,I like it a bit,Some of the time,,,,,Never,
7286,M23596V,7.6,Male,I like it a bit,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I like it a lot,Some,I like it a lot,Some of the time,All of the time,I like it a bit,Never,Some of the time,Some of the time,All of the time,Some of the time,Some of the time,Some of the time
7287,M23597W,7.7,Male,I like it a bit,I don't like it,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Never,All of the time,I like it a lot,All of the time,Never,All of the time,All of the time,Never,Never,Never
7288,M23598X,7.4,Female,I like it a lot,I like it a bit,I don't like it,I like it a lot,I like it a lot,I don't like it,Lots,I like it a lot,Never,Some of the time,I like it a lot,Some of the time,Some of the time,Never,Never,Some of the time,Never,Some of the time
7289,M23600Y,6.9,Female,I like it a lot,I like it a lot,I don't like it,I like it a bit,I like it a lot,I like it a lot,Not many,I like it a lot,Some of the time,Some of the time,I don't like it,All of the time,Some of the time,All of the time,Never,Some of the time,Never,Never
7290,M23601Z,7.5,,,,,,,,,,,,,,,,,,,
7291,M23604C,7.2,Male,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Some of the time,All of the time,I like it a bit,Never,All of the time,Some of the time,All of the time,Some of the time,Some of the time,Some of the time
7292,M23606E,7.6,Male,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Some,I like it a lot,Never,All of the time,I like it a lot,Never,All of the time,Never,Never,Never,Never,Never
7293,M23609H,6.9,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Never,Some of the time,I don't like it,Some of the time,Some of the time,All of the time,Never,Never,Never,Some of the time
7294,M23611B,7.4,Male,I don't like it,I like it a bit,I like it a bit,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Some of the time,All of the time,I like it a lot,All of the time,Some of the time,Never,Never,Never,Never,Never
7295,M23620C,6.8,Male,I don't like it,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Some,I like it a lot,Never,All of the time,I like it a lot,Never,Never,Some of the time,Never,Never,Never,Some of the time
7296,M23621D,7.1,Male,I don't like it,I like it a lot,I don't like it,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Never,Some of the time,I don't like it,Never,Never,Some of the time,All of the time,Some of the time,Some of the time,Never
7297,M23624G,7.1,Male,I don't like it,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I like it a bit,Not many,I don't like it,Never,All of the time,I like it a bit,Never,All of the time,All of the time,Never,All of the time,Never,All of the time
7298,M23625H,7.4,Female,I like it a lot,I like it a bit,I like it a lot,I like it a bit,I like it a lot,I like it a bit,Lots,I like it a lot,Some of the time,Some of the time,I like it a lot,Some of the time,All of the time,Some of the time,Never,All of the time,Never,Some of the time
7299,M23626J,7.3,Female,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a bit,I don't like it,Lots,I like it a bit,Some of the time,All of the time,I don't like it,Never,Some of the time,Some of the time,Never,Never,Never,Some of the time
7300,M23632G,7.2,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Never,All of the time,I like it a lot,Never,Some of the time,Never,Some of the time,Never,Never,Never
7301,M23633H,7.4,Male,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Some of the time,All of the time,I like it a lot,All of the time,Some of the time,Some of the time,All of the time,Some of the time,Never,Some of the time
7302,M23634J,6.8,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Never,Some of the time,I like it a lot,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Never,All of the time
7303,M23638N,7.3,Male,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Some,I like it a lot,Some of the time,Some of the time,I like it a lot,Some of the time,Some of the time,Some of the time,Never,Some of the time,Never,Some of the time
7304,M23639P,7.3,Female,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I like it a lot,Lots,I like it a lot,Some of the time,Some of the time,I like it a bit,Some of the time,Some of the time,Some of the time,Never,Never,Never,Never
7305,M23640G,6.9,Male,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Never,All of the time,I don't like it,Never,Some of the time,All of the time,All of the time,Never,Never,Some of the time
7306,M23641H,6.9,Male,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Never,Some of the time,I like it a lot,Never,Never,Never,Never,Some of the time,Never,Never
7307,M23642J,7.3,Male,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Some of the time,All of the time,I like it a bit,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Never,Some of the time
7308,M23644L,7.0,Male,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Never,Some of the time,I like it a bit,Some of the time,Some of the time,Some of the time,Some of the time,Never,Never,Never
7309,M23645M,7.4,Female,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Some,I like it a lot,Never,Some of the time,I like it a lot,Never,Some of the time,Never,Some of the time,Never,Never,Never
7310,M23649R,7.4,Female,I like it a lot,I like it a lot,I like it a bit,I like it a bit,I like it a lot,I like it a bit,Lots,I like it a lot,Never,Some of the time,I like it a bit,Some of the time,Some of the time,Never,Some of the time,Never,Never,Some of the time
7311,M23650J,7.1,Female,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I don't like it,Some,I like it a lot,Never,All of the time,I like it a lot,Never,Some of the time,Never,Never,Never,Never,Some of the time
7312,M23651K,7.1,Female,I like it a bit,I like it a lot,I like it a lot,I don't like it,I like it a lot,I like it a lot,Lots,I like it a lot,,Some of the time,I like it a bit,Never,All of the time,Never,Some of the time,Never,Never,Never
7313,M23653M,7.7,Female,I like it a lot,I like it a bit,I like it a lot,I like it a bit,I like it a lot,I like it a lot,Lots,I like it a lot,,Some of the time,I like it a lot,Some of the time,Some of the time,Some of the time,,Some of the time,Never,Some of the time
7314,M23654N,7.0,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Some of the time,All of the time,I like it a lot,Never,All of the time,Never,Never,Never,Never,Never
7315,M23655P,7.1,Female,I like it a bit,I like it a bit,I like it a lot,I like it a bit,I like it a bit,I like it a lot,Some,I like it a bit,Some of the time,Some of the time,I like it a bit,Some of the time,Some of the time,Never,Never,Some of the time,Never,Some of the time
7316,M23656Q,7.7,Female,I like it a lot,I like it a lot,I like it a bit,I like it a bit,I like it a lot,I don't like it,Lots,I like it a lot,Never,Some of the time,I like it a lot,Never,Some of the time,Never,Never,Never,Never,Some of the time
7317,M23657R,7.5,,,,,,,,,,,,,,,,,,,
7318,M23659T,7.2,Male,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I like it a bit,I like it a lot,Some,I like it a lot,Never,All of the time,I like it a bit,Some of the time,Some of the time,Some of the time,Never,All of the time,Some of the time,Some of the time
7319,M23661M,7.2,Female,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Never,All of the time,I like it a bit,Never,Some of the time,Some of the time,Never,Some of the time,Never,Some of the time
7320,M23662N,7.1,Female,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I like it a lot,Lots,I like it a lot,Never,All of the time,I like it a lot,Never,Some of the time,Some of the time,All of the time,Some of the time,Some of the time,Some of the time
7321,M23665R,7.5,Female,,,,,,,,,Some of the time,All of the time,I like it a lot,All of the time,Some of the time,Some of the time,All of the time,All of the time,Never,Never
7322,M23666S,7.9,Female,I don't like it,I like it a lot,I like it a bit,I like it a lot,I don't like it,I like it a bit,Some,I like it a lot,Never,Some of the time,I like it a bit,Some of the time,Some of the time,Some of the time,Never,Never,Some of the time,All of the time
7323,M23667T,6.8,Female,I like it a lot,I like it a lot,I like it a bit,I like it a bit,I like it a lot,I like it a bit,Lots,I like it a lot,Never,Some of the time,I like it a lot,Some of the time,Some of the time,All of the time,Never,Never,Never,Never
7324,M23671P,7.4,Female,I like it a lot,I like it a bit,I like it a lot,I like it a bit,I like it a lot,I like it a bit,Lots,I like it a lot,Some of the time,Some of the time,I like it a lot,Some of the time,Some of the time,Never,Some of the time,Some of the time,Never,Some of the time
7325,M23672Q,7.1,Male,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I like it a bit,I like it a bit,Some,I like it a bit,Some of the time,Some of the time,I don't like it,Some of the time,All of the time,All of the time,Some of the time,Never,Never,Some of the time
7326,M23673R,7.3,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Some,I like it a bit,Never,All of the time,I don't like it,Some of the time,Some of the time,Some of the time,Never,All of the time,Never,All of the time
7327,M23674S,7.0,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a lot,Lots,I like it a lot,Never,All of the time,I like it a lot,Never,Some of the time,Never,Never,Never,Never,Never
7328,M23675T,6.8,Male,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I like it a bit,I don't like it,Lots,I like it a lot,Never,All of the time,I like it a lot,All of the time,All of the time,Never,Never,All of the time,Never,Some of the time
7329,M23678W,6.9,Female,I don't like it,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Never,Some of the time,I like it a lot,Never,Some of the time,Never,Never,Never,Never,Never
